Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Austria,Corporates,Mar-22,0.38%,30.44%,1.37%,34.13%
Austria,Corporates - Of Which: Specialised Lending,Mar-22,,,1.15%,19.19%
Austria,Corporates - Of Which: SME,Mar-22,0.72%,,2.74%,28.87%
Austria,Retail,Mar-22,0.50%,25.77%,1.48%,29.32%
Austria,Retail - Secured on real estate property,Mar-22,0.36%,7.27%,1.28%,15.53%
Austria,Retail - Qualifying Revolving,Mar-22,0.60%,52.83%,1.86%,85.43%
Austria,Retail - Other Retail,Mar-22,0.81%,38.10%,2.08%,50.68%
Belgium,Corporates,Mar-22,1.31%,18.51%,2.29%,27.16%
Belgium,Corporates - Of Which: Specialised Lending,Mar-22,2.78%,,1.24%,22.04%
Belgium,Corporates - Of Which: SME,Mar-22,1.29%,16.14%,2.65%,25.33%
Belgium,Retail,Mar-22,0.66%,11.63%,0.98%,16.95%
Belgium,Retail - Secured on real estate property,Mar-22,0.54%,4.59%,0.88%,13.47%
Belgium,Retail - Qualifying Revolving,Mar-22,1.10%,21.47%,0.75%,50.06%
Belgium,Retail - Other Retail,Mar-22,1.12%,25.69%,1.56%,31.38%
Bulgaria,Corporates,Mar-22,4.62%,,1.98%,27.83%
Bulgaria,Corporates - Of Which: Specialised Lending,Mar-22,,,1.44%,37.19%
Bulgaria,Corporates - Of Which: SME,Mar-22,7.48%,,3.37%,24.85%
Bulgaria,Retail,Mar-22,3.62%,68.64%,2.04%,23.86%
Bulgaria,Retail - Secured on real estate property,Mar-22,3.05%,61.19%,1.42%,18.33%
Bulgaria,Retail - Qualifying Revolving,Mar-22,2.71%,95.67%,3.53%,17.81%
Bulgaria,Retail - Other Retail,Mar-22,5.28%,76.16%,3.87%,41.48%
Croatia,Corporates,Mar-22,0.51%,,4.14%,41.34%
Croatia,Corporates - Of Which: Specialised Lending,Mar-22,,,0.87%,19.74%
Croatia,Corporates - Of Which: SME,Mar-22,,,5.35%,41.56%
Croatia,Retail,Mar-22,0.59%,14.60%,2.25%,42.28%
Croatia,Retail - Secured on real estate property,Mar-22,0.20%,,1.60%,33.33%
Croatia,Retail - Qualifying Revolving,Mar-22,1.68%,44.90%,2.36%,62.38%
Croatia,Retail - Other Retail,Mar-22,0.83%,14.52%,2.69%,47.92%
Cyprus,Corporates,Mar-22,4.38%,,6.80%,26.75%
Cyprus,Corporates - Of Which: Specialised Lending,Mar-22,,,17.70%,27.19%
Cyprus,Corporates - Of Which: SME,Mar-22,,,0.69%,11.16%
Cyprus,Retail,Mar-22,0.30%,60.79%,0.90%,29.96%
Cyprus,Retail - Secured on real estate property,Mar-22,,,0.65%,15.04%
Cyprus,Retail - Qualifying Revolving,Mar-22,,,1.14%,61.58%
Cyprus,Retail - Other Retail,Mar-22,0.56%,63.52%,0.96%,32.80%
Czech,Corporates,Mar-22,0.67%,42.62%,2.25%,32.98%
Czech,Corporates - Of Which: Specialised Lending,Mar-22,0.21%,,1.63%,27.67%
Czech,Corporates - Of Which: SME,Mar-22,1.23%,41.84%,3.23%,32.11%
Czech,Retail,Mar-22,0.60%,36.26%,1.21%,25.89%
Czech,Retail - Secured on real estate property,Mar-22,0.38%,21.09%,0.93%,20.23%
Czech,Retail - Qualifying Revolving,Mar-22,0.39%,48.80%,1.45%,54.88%
Czech,Retail - Other Retail,Mar-22,1.19%,48.32%,2.07%,40.47%
Denmark,Corporates,Mar-22,0.47%,17.30%,0.88%,22.36%
Denmark,Corporates - Of Which: Specialised Lending,Mar-22,,,1.10%,21.21%
Denmark,Corporates - Of Which: SME,Mar-22,0.39%,17.02%,1.57%,19.47%
Denmark,Retail,Mar-22,0.56%,13.52%,0.95%,17.15%
Denmark,Retail - Secured on real estate property,Mar-22,0.54%,9.62%,0.89%,15.21%
Denmark,Retail - Qualifying Revolving,Mar-22,1.32%,34.35%,1.55%,62.82%
Denmark,Retail - Other Retail,Mar-22,0.78%,37.03%,2.10%,41.93%
Estonia,Corporates,Mar-22,0.72%,30.55%,1.72%,42.59%
Estonia,Corporates - Of Which: Specialised Lending,Mar-22,,,1.62%,35.06%
Estonia,Corporates - Of Which: SME,Mar-22,,,1.88%,40.58%
Estonia,Retail,Mar-22,0.39%,29.95%,1.47%,16.01%
Estonia,Retail - Secured on real estate property,Mar-22,0.38%,29.82%,1.17%,13.06%
Estonia,Retail - Qualifying Revolving,Mar-22,,,2.12%,62.49%
Estonia,Retail - Other Retail,Mar-22,0.43%,31.98%,2.76%,29.27%
Finland,Corporates,Mar-22,0.83%,,1.07%,35.33%
Finland,Corporates - Of Which: Specialised Lending,Mar-22,,,0.66%,28.94%
Finland,Corporates - Of Which: SME,Mar-22,1.16%,,1.64%,32.05%
Finland,Retail,Mar-22,0.92%,6.07%,1.33%,20.53%
Finland,Retail - Secured on real estate property,Mar-22,0.85%,5.21%,0.97%,16.76%
Finland,Retail - Qualifying Revolving,Mar-22,0.57%,51.12%,1.72%,63.51%
Finland,Retail - Other Retail,Mar-22,1.12%,9.82%,3.03%,33.42%
France,Corporates,Mar-22,0.57%,21.28%,1.56%,35.13%
France,Corporates - Of Which: Specialised Lending,Mar-22,0.47%,,1.29%,21.27%
France,Corporates - Of Which: SME,Mar-22,1.30%,23.43%,2.46%,34.97%
France,Retail,Mar-22,0.50%,22.49%,1.37%,18.24%
France,Retail - Secured on real estate property,Mar-22,0.27%,10.98%,1.03%,13.81%
France,Retail - Qualifying Revolving,Mar-22,0.94%,39.74%,2.61%,34.36%
France,Retail - Other Retail,Mar-22,0.92%,27.23%,1.73%,24.30%
Germany,Corporates,Mar-22,0.47%,27.59%,0.84%,36.77%
Germany,Corporates - Of Which: Specialised Lending,Mar-22,0.69%,38.53%,0.85%,33.65%
Germany,Corporates - Of Which: SME,Mar-22,0.72%,32.17%,1.04%,33.13%
Germany,Retail,Mar-22,0.67%,25.06%,0.89%,27.74%
Germany,Retail - Secured on real estate property,Mar-22,0.43%,9.55%,0.69%,18.21%
Germany,Retail - Qualifying Revolving,Mar-22,0.44%,31.38%,1.13%,64.62%
Germany,Retail - Other Retail,Mar-22,1.45%,37.18%,1.61%,45.99%
Greece,Corporates,Mar-22,1.58%,,7.42%,40.12%
Greece,Corporates - Of Which: Specialised Lending,Mar-22,,,2.72%,26.12%
Greece,Corporates - Of Which: SME,Mar-22,,,15.49%,38.99%
Greece,Retail,Mar-22,3.98%,31.97%,9.30%,25.99%
Greece,Retail - Secured on real estate property,Mar-22,,,10.59%,14.01%
Greece,Retail - Qualifying Revolving,Mar-22,1.34%,62.83%,3.73%,63.42%
Greece,Retail - Other Retail,Mar-22,3.71%,47.58%,11.12%,35.78%
Hungary,Corporates,Mar-22,0.86%,37.53%,1.69%,37.74%
Hungary,Corporates - Of Which: Specialised Lending,Mar-22,,,1.66%,32.28%
Hungary,Corporates - Of Which: SME,Mar-22,1.90%,42.47%,2.38%,38.46%
Hungary,Retail,Mar-22,1.25%,59.15%,2.61%,43.42%
Hungary,Retail - Secured on real estate property,Mar-22,1.25%,39.65%,1.74%,34.55%
Hungary,Retail - Qualifying Revolving,Mar-22,4.86%,49.34%,3.58%,64.58%
Hungary,Retail - Other Retail,Mar-22,2.95%,65.42%,4.82%,64.77%
Ireland,Corporates,Mar-22,1.97%,14.26%,1.57%,27.90%
Ireland,Corporates - Of Which: Specialised Lending,Mar-22,4.80%,,10.96%,27.32%
Ireland,Corporates - Of Which: SME,Mar-22,2.69%,14.87%,4.42%,37.40%
Ireland,Retail,Mar-22,1.23%,20.61%,1.72%,27.28%
Ireland,Retail - Secured on real estate property,Mar-22,1.20%,19.88%,1.49%,24.68%
Ireland,Retail - Qualifying Revolving,Mar-22,0.61%,24.84%,2.30%,59.52%
